Current Density;Cell Voltage;Temperature;Pressure
0;1,252;40;1
0,002;1,368;40;1
0,005;1,428;40;1
0,009;1,479;40;1
0,016;1,521;40;1
0,022;1,547;40;1
0,027;1,565;40;1
0,032;1,582;40;1
0,037;1,596;40;1
0,042;1,609;40;1
0,048;1,623;40;1
0,053;1,632;40;1
0,059;1,646;40;1
0,064;1,654;40;1
0,069;1,664;40;1
0,075;1,673;40;1
0,08;1,684;40;1
0,085;1,692;40;1
0,091;1,701;40;1
0,096;1,708;40;1
0,101;1,717;40;1
0,107;1,725;40;1
0,112;1,734;40;1
0,117;1,741;40;1
0,123;1,749;40;1
0,128;1,757;40;1
0,133;1,765;40;1
0,139;1,772;40;1
0,144;1,78;40;1
0,149;1,788;40;1
0,155;1,795;40;1
0,16;1,804;40;1
0,165;1,81;40;1
0,171;1,818;40;1
0,176;1,825;40;1
0,181;1,831;40;1
0,187;1,839;40;1
0,192;1,847;40;1
0,197;1,854;40;1
0,203;1,861;40;1
0,208;1,869;40;1
0,213;1,875;40;1
0,219;1,882;40;1
0,224;1,89;40;1
0,229;1,897;40;1
0,235;1,905;40;1
0,24;1,911;40;1
0,245;1,918;40;1
0,251;1,926;40;1
0,256;1,933;40;1
0,261;1,94;40;1
0,266;1,947;40;1
