Current Density;Cell Voltage;Temperature;Pressure
0;1,251;23;1
0,002;1,407;23;1
0,005;1,476;23;1
0,011;1,533;23;1
0,015;1,558;23;1
0,021;1,588;23;1
0,027;1,613;23;1
0,032;1,628;23;1
0,037;1,644;23;1
0,043;1,659;23;1
0,048;1,671;23;1
0,053;1,682;23;1
0,059;1,693;23;1
0,064;1,705;23;1
0,069;1,716;23;1
0,075;1,726;23;1
0,08;1,736;23;1
0,086;1,748;23;1
0,091;1,756;23;1
0,096;1,765;23;1
0,101;1,774;23;1
0,107;1,784;23;1
0,112;1,793;23;1
0,117;1,802;23;1
0,123;1,81;23;1
0,128;1,82;23;1
0,133;1,829;23;1
0,139;1,836;23;1
0,144;1,846;23;1
0,149;1,854;23;1
0,155;1,863;23;1
0,16;1,871;23;1
0,165;1,879;23;1
0,171;1,888;23;1
0,176;1,896;23;1
0,181;1,904;23;1
0,187;1,912;23;1
0,192;1,92;23;1
0,197;1,929;23;1
0,203;1,937;23;1
0,208;1,945;23;1
0,213;1,954;23;1
0,219;1,962;23;1
0,224;1,97;23;1
0,229;1,978;23;1
0,235;1,987;23;1
0,24;1,995;23;1
