Current Density;Cell Voltage;Temperature;Pressure
0;1,251;45;1
0,002;1,363;45;1
0,004;1,401;45;1
0,01;1,468;45;1
0,016;1,509;45;1
0,022;1,533;45;1
0,027;1,548;45;1
0,032;1,566;45;1
0,037;1,581;45;1
0,043;1,596;45;1
0,048;1,608;45;1
0,053;1,617;45;1
0,059;1,628;45;1
0,064;1,639;45;1
0,069;1,648;45;1
0,075;1,657;45;1
0,08;1,666;45;1
0,085;1,677;45;1
0,091;1,686;45;1
0,096;1,693;45;1
0,101;1,701;45;1
0,107;1,709;45;1
0,112;1,717;45;1
0,117;1,725;45;1
0,123;1,734;45;1
0,128;1,742;45;1
0,133;1,748;45;1
0,139;1,757;45;1
0,144;1,764;45;1
0,149;1,771;45;1
0,155;1,779;45;1
0,16;1,786;45;1
0,165;1,794;45;1
0,171;1,802;45;1
0,176;1,809;45;1
0,181;1,816;45;1
0,187;1,824;45;1
0,192;1,83;45;1
0,197;1,838;45;1
0,203;1,846;45;1
0,208;1,852;45;1
0,213;1,86;45;1
0,219;1,867;45;1
0,224;1,874;45;1
0,229;1,881;45;1
0,235;1,888;45;1
0,24;1,895;45;1
0,245;1,903;45;1
0,251;1,91;45;1
0,256;1,917;45;1
0,261;1,925;45;1
0,266;1,932;45;1
