Current Density;Cell Voltage;Temperature;Pressure
0;1,251;53,5;1
0,002;1,311;53,5;1
0,005;1,389;53,5;1
0,011;1,45;53,5;1
0,016;1,481;53,5;1
0,021;1,505;53,5;1
0,027;1,524;53,5;1
0,032;1,541;53,5;1
0,037;1,555;53,5;1
0,043;1,569;53,5;1
0,048;1,581;53,5;1
0,053;1,592;53,5;1
0,059;1,603;53,5;1
0,064;1,613;53,5;1
0,069;1,624;53,5;1
0,075;1,633;53,5;1
0,08;1,642;53,5;1
0,085;1,651;53,5;1
0,091;1,66;53,5;1
0,096;1,668;53,5;1
0,101;1,677;53,5;1
0,107;1,686;53,5;1
0,112;1,693;53,5;1
0,117;1,701;53,5;1
0,123;1,709;53,5;1
0,128;1,717;53,5;1
0,133;1,725;53,5;1
0,138;1,733;53,5;1
0,144;1,74;53,5;1
0,149;1,748;53,5;1
0,155;1,755;53,5;1
0,16;1,763;53,5;1
0,165;1,771;53,5;1
0,171;1,778;53,5;1
0,176;1,786;53,5;1
0,181;1,793;53,5;1
0,187;1,802;53,5;1
0,192;1,808;53,5;1
0,197;1,816;53,5;1
0,203;1,823;53,5;1
0,208;1,83;53,5;1
0,213;1,838;53,5;1
0,219;1,845;53,5;1
0,224;1,853;53,5;1
0,229;1,86;53,5;1
0,235;1,867;53,5;1
0,24;1,875;53,5;1
0,245;1,882;53,5;1
0,251;1,889;53,5;1
0,256;1,897;53,5;1
0,261;1,904;53,5;1
0,266;1,912;53,5;1
