latin_name;indicator_value
Aphanocapsa spp.;7.24
Binuclearia tectorum;3.72
Aphanothece spp.;7.83
Bulbochaete spp.;4.65
Calothrix spp.;5.21
Chaetophora elegans;5.91
Capsosira brebisonii;3.98
Cladophora spp.;47.00
Chamaesiphon confervicola;6.61
Coleochaete spp.;4.47
Chamaesiphon fuscus;5.09
Cosmarium spp.;5.14
Chamaesiphon incrustans;20.38
Draparnaldia spp.;6.07
Chamaesiphon minutus;3.47
Euastrum spp.;5.47
Chamaesiphon polymorphus;16.11
Gongrosira spp.;6.20
Chamaesiphon rostafinskii;4.37
Klebsormidium flaccidum;4.87
Chlorogloea spp.;6.69
Klebsormidium rivulare;4.00
Chroococcus spp.;3.57
Microspora abbreviata;37.63
Clastidium setigerum;4.76
Microspora amoena;11.58
Coleodesmium sagarmathae;4.82
Microspora pachyderma;6.50
Cyanophanon mirabile;4.39
Microspora palustris;4.27
Dichothrix gypsophila;4.20
Microspora palustris var. minor;5.15
Dichothrix orsiniana;4.42
Mougeotia a2 (3-7u);4.01
Dichothrix spp.;4.55
Mougeotia a (6 -12μ);5.24
Entophysalis spp.;4.31
Mougeotia a/b (10-18μ);4.53
Geitlerinema acutissimum;24.22
Mougeotia b (15-21μ, short cells);5.55
Geitlerinema splendidum;43.42
Mougeotia c (21- 24);10.71
Gloeocapsopsis magma/Gloeocapsa sanguinea;2.74
Mougeotia d (25-30μ);5.87
Gloeocapsa spp.;3.20
Mougeotia d/e (27-36μ);4.59
Hapalosiphon hibernicus;2.88
Mougeotia e (30-40μ);4.53
Heteroleibleinia kuetzingii;5.32
Mougeotiopsis calospora;4.86
Heteroleibleinia leptonema;5.66
Netrium spp.;4.57
Heteroleibleinia spp.;7.98
Oedogonium a1 (3-4μ);4.59
Homoeothrix "grenet";1.96
Oedogonium a (5-11μ);5.84
Homoeothrix batrachospermorum;3.71
Oedogonium a/b (19-21μ);7.57
Homoeothrix janthina;12.53
Oedogonium b (13-18μ);7.73
Homoeothrix nordstedtii;3.30
Oedogonium c (23-28μ);9.09
Homoeothrix varians;6.14
Oedogonium d (29-32μ);10.87
Hydrococcus rivularis;8.50
Oedogonium e (35-43μ);16.05
Leptolyngbya perelegans;4.96
Oedogonium f (48-60μ);31.54
Leptolyngbya crassior;3.82
Penium spp.;3.60
Leptolyngbya spp.;7.83
Protoderma viride;3.81
Merismopedia glauca;5.33
Schizochlamys gelitanosa;4.61
Merismopedia punctata;3.77
Spirogyra a (20-42μ,1K,L);8.38
Merismopedia spp.;6.28
Spirogyra c1 (34-49u,2-3K,L,l/b>3);7.11
Nostoc parmeloides;7.14
Spirogyra d (30-50μ, 2-3K, L);19.18
Nostoc sphaericum;5.29
Spirogyra sp1 (11-20μ,1K,R);7.77
Nostoc verrucosum;7.34
Spirogyra sp2 (30-38μ,2K,R);19.18
Nostoc spp.;7.02
Spirogyra sp5 (30-37μ,2K,L,l/b>10);7.75
Oscillatoria limosa;39.10
Spirogyra sp6 (70-75μ,2K,L);18.03
Oscillatoria splendida;40.99
Spondylosium planum;5.76
Oscillatoria tenuis;44.24
Staurastrum spp.;3.05
Phormidium favosum;28.01
Staurodesmus spp.;4.33
Phormidium hetropolare;3.40
Stigeoclonium tenue;21.64
Phormidium inundatum;35.81
Teilingia excavata;4.46
Phormidium nigrum;8.22
Teilingia granulata;5.16
Phormidium retzii;32.02
Tetraspora cylindrica;4.67
Phormidium tinctorum;52.77
Tetraspora gelatinosa;8.66
Plectonema tomasinianum;17.60
Tetraspora spp.;5.34
Pleurocapsa spp.;6.66
Ulothrix subtilis;4.79
Pseudoanabaena catenata;35.91
Ulothrix tenerrima;20.14
Pseudoanabaena frigida;3.63
Ulothrix zonata;8.39
Rivularia biasolettiana;4.55
Zygnema a (16-20u);4.45
Rivularia haematites;8.75
Zygnema b (22-25u);4.76
Rivularia spp.;4.99
Zygnema c (30-40u);5.07
Schizothrix lacustris;4.35
Zygogonium spp.;3.50
Schizothrix latierita;4.29
Rhodophyceae Schizothrix spp.;4.71
Audouinella chalybea;49.42
Scytonematopsis starmachii;3.08
Audouinella hermannii;21.25
Scytonema mirabile;3.37
Audouinella pgymaea;36.81
Stigonema hormoides;1.87
Batrachospermum keratophytum;3.80
Stigonema mamillosum;3.88
Batrachospermum gelatinosum;7.06
Stigonema minutum;3.30
Batrachospermum turfosum;5.37
Stigonema multipartitum;7.13
Batrachospermum spp.;7.68
Stigonema ocellatum;3.34
Lemanea fluviatilis;6.98
Stigonema tomentosum;4.43
Lemanea spp.;8.88
Stigonema spp.;3.87
Tolypothrix distorta;7.71
Tolypothrix distorta var. penicillata;5.20
Tolypothrix spp.;5.72
Heribaudiella fluviatilis;4.98
Tolypothrix saviczii;4.44
Tolypothrix tenuis;6.45
Chrysophyceae Tolypothrix spp.;5.72
Hydrurus foetidus;5.97
Leptomitus lacteus;22.97
Tribonema spp.;68.91
Ophrydium versatile;5.36
Vaucheria hamata;5.84
Sphaerotilus natans;22.28
Vaucheria spp.;42.15
