latin_name;indicator_value
Calothrix braunii;6.90
Hydrurus foetidus Calothrix fusca;6.98
Calothrix gypsophila;7.18
Heribaudiella fluviatilis Calothrix ramenskii;7.18
Capsosira brebissonii;5.19
Audouinella hermannii;7.05
Chamaesiphon amethystinum;6.97
Batrachospermum gelatinosum;7.12
Chamaesiphon confervicola;7.05
Batrachospermum keratophytum;5.13
Chamaesiphon fuscus;6.91
Lemanea condensata;6.52
Chamaesiphon incrustans;7.33
Lemanea fluviatilis;7.11
Chamaesiphon minutus;6.79
Lemanea fucina;6.85
Chamaesiphon polymorphus;7.02
Chamaesiphon rostafinskii;6.45
Aphanochaete repens;7.14
Chamaesiphon subglobosus;6.52
Binuclearia tectorum;5.57
Chlorogloea microcystoides;6.89
Bulbochaete spp.;6.43
Clastidium rivulare;7.01
Chaetophora elegans;7.36
Clastidium setigerum;7.09
Cladophora glomerata;7.50
Coleodesmium sagarmathae;6.26
Closterium tumidulum;6.55
Cyanophanon mirabile;6.71
Coleochaete scutata;7.14
Gloeocapsopsis magma;5.71
Cosmarium reniforme;7.28
Hapalosiphon fontinalis;5.25
Draparnaldia glomerata;7.09
Hapalosiphon hibernicus;5.25
Klebsormidium montanum;5.56
Heteroleibleinia kuetzingii;7.17
Klebsormidium rivulare;6.02
Heteroleibleinia leptonema;7.03
Microspora abbreviata;6.50
Homoeothrix batrachospermorum;7.18
Microspora amoena;7.18
Homoeothrix janthina;7.12
Microspora loefgrenii (18-23μ);5.57
Homoeothrix varians;6.94
Microspora palustris;5.60
Hydrococcus rivularis;6.97
Microspora palustris var minor;5.66
Merismopedia glauca;5.42
Mougeotia a/b (10-18μ);5.57
Merismopedia punctata;5.86
Mougeotia d (25-30μ);6.98
Merismopedia tenuissima;5.76
Mougeotia e (30-40μ);7.16
Nostoc parmeloides;7.22
Oedogonium b (13-18μ);6.92
Nostoc sphaericum;7.31
Oedogonium c (23-28μ);7.09
Nostoc verrucosum;7.25
Oedogonium d (29-32μ);7.27
Oscillatoria amoena;6.86
Oedogonium e (35-43μ);7.27
Phormidium autumnale;7.17
Penium spp.;5.65
Phormidium heteropolare;6.80
Protoderma viride;6.73
Phormidium irriguum;7.38
Schizochlamys gelitanosa;6.48
Phormidium limosum;7.10
Spirogyra a (20-42μ,1K,L);7.01
Phormidium nigrum;7.09
Spirogyra b1(16-20μ,1K,L,l/b:2-3);7.21
Rhabdoderma lineare;5.28
Spirogyra c1 (34-49μ,3?K,L,l/b>3,svart);7.23
Rivularia biasolettiana;7.20
Spirogyra lapponica (26μ,1K,L,svart);7.07
Rivularia haematites;7.03
Spirogyra majuscula;7.34
Schizothrix lacustris;6.36
Spirogyra sp1 (11-20μ,1K,R);7.03
Schizothrix lateritia;6.86
Spirogyra sp2 (30-38μ,2K,R);7.22
Scytonema mirabile;5.65
Spondylosium planum;7.15
Scytonematopsis starmachii;5.48
Stigeoclonium tenue;7.19
Siphonema polonicum;5.30
Teilingia excavata;6.45
Stigonema hormoides;5.19
Teilingia granulata;7.02
Stigonema mamillosum;6.25
Tetraspora cylindrica;7.38
Stigonema minutum;5.46
Tetraspora gelatinosa;7.18
Stigonema multipartitum;5.25
Ulothrix subtilis;7.19
Stigonema ocellatum;5.38
Ulothrix zonata;7.26
Stigonema ocellatum var. globosporum;5.47
Zygnema b (22-25μ);6.99
Tolypothrix distorta;7.17
Zygnema c (30-40μ);7.04
Tolypothrix penicillata;6.97
Zygogonium sp3 (16-20μ);5.40
Tolypothrix saviezii;7.31
