city,lat,lng,country,admin,capital
Abohar,30.144533000000003,74.19552,India,Punjab,
Agartala,23.836049,91.279386,India,Tripura,admin
Ahmadnagar,19.094571,74.73843199999999,India,Mahārāshtra,
Ahmadābād,23.025793,72.587265,India,Gujarāt,minor
Aizawl,23.736701,92.714596,India,Mizoram,admin
Ajmer,26.452103,74.638667,India,Rājasthān,
Akola,20.709569000000002,76.998103,India,Mahārāshtra,
Alappuzha,9.494647,76.331108,India,Kerala,
Allahābād,25.444779999999998,81.84321700000001,India,Uttar Pradesh,
Alwar,27.566290999999996,76.610202,India,Rājasthān,
Alīgarh,27.881453000000004,78.07464,India,Uttar Pradesh,
Alīpur Duār,26.4835,89.522855,India,West Bengal,
Ambāla,30.360993,76.79781899999999,India,Haryāna,
Amritsar,31.622336999999998,74.87533499999999,India,Punjab,
Amrāvati,0.0,0.0,India,Mahārāshtra,
Aurangābād,-84.374202,-24.752036999999998,India,Bihār,
Bakshpur,25.894282999999998,80.79210400000001,India,Uttar Pradesh,
Bamanpurī,28.804495000000003,79.040305,India,Uttar Pradesh,
Barddhamān,23.255716,87.85690600000001,India,West Bengal,
Bareilly,28.347022999999997,79.421934,India,Uttar Pradesh,
Belgaum,15.862642999999998,74.508534,India,Karnātaka,
Bellary,15.142048999999998,76.92398,India,Karnātaka,
Bengalūru,12.977063000000001,77.587106,India,Karnātaka,admin
Bharatpur,27.215251000000002,77.492786,India,Rājasthān,
Bharauri,27.598203,81.694709,India,Uttar Pradesh,
Bhilai,21.209188,81.428497,India,Chhattīsgarh,
Bhiwandi,19.300229,73.058813,India,Mahārāshtra,
Bhiwāni,28.793044000000002,76.13968,India,Haryāna,
Bhopal,23.254688,77.40289200000001,India,Madhya Pradesh,admin
Bhubaneshwar,20.272410999999998,85.833853,India,Odisha,admin
Bhuj,23.253972,69.66928100000001,India,Gujarāt,
Bhusāval,21.043649,75.78505799999999,India,Mahārāshtra,
Bhāgalpur,25.244462,86.97183199999999,India,Bihār,
Bhātpāra,22.866431,88.401129,India,West Bengal,
Bhāvnagar,21.774455,72.152496,India,Gujarāt,
Bhīlwāra,25.347071,74.640812,India,Rājasthān,
Bijāpur,16.827714999999998,75.718988,India,Karnātaka,
Bilāspur,22.080046,82.15543100000001,India,Chhattīsgarh,
Brahmapur,19.311514000000003,84.79290300000001,India,Odisha,
Budaun,28.038114,79.126677,India,Uttar Pradesh,
Bulandshahr,28.403921999999998,77.857731,India,Uttar Pradesh,
Bāramūla,34.209004,74.342853,India,Jammu and Kashmīr,
Bīdar,17.913308999999998,77.530105,India,Karnātaka,
Bīkaner,28.017622999999997,73.314955,India,Rājasthān,
Calicut,11.248016,75.780402,India,Kerala,minor
Chandigarh,30.736292,76.788398,India,Chandīgarh,admin
Chennai,13.084622,80.248357,India,Tamil Nādu ,admin
Chikka Mandya,12.545602,76.895078,India,Karnātaka,
