city,lat,lng,country,province
Al Fujayrah,25.12343935,56.33748083,United Arab Emirates,Fujayrah
Baghlan,36.13933026,68.69925858,Afghanistan,Baghlan
Bamian,34.82106447,67.52103593,Afghanistan,Bamyan
Ghazni,33.56331179,68.41782873,Afghanistan,Ghazni
Kondoz,36.72795066,68.87252966,Afghanistan,Kunduz
Mazar-e Sharif,36.69999371,67.10002803,Afghanistan,Balkh
Pol-e Khomri,35.95107302,68.70111894,Afghanistan,Baghlan
Kruje,41.51899817,19.79700359,Albania,Durrës
Lushnje,40.94000113,19.71600348,Albania,Fier
Rreshen,41.78330106,19.81670459,Albania,Lezhë
Shkoder,42.06845156,19.51884965,Albania,Shkodër
Ijevan,40.87555560000001,45.1491667,Armenia,Tavush
Vanadzor,40.81276593,-44.48828162,Armenia,Lori
Cacolo,-10.14962726,19.2600024,Angola,Lunda Sul
Caxito,-8.579542217,13.65998246,Angola,Bengo
Chitado,-17.31962889,13.92001827,Angola,Cunene
Cubal,-13.03958006,14.23999874,Angola,Benguela
Dondo,-9.690017071,14.43001298,Angola,Cuanza Norte
Luau,-10.7095414,22.23000199,Angola,Moxico
Soyo,-6.129614239,12.36998368,Angola,Zaire
Tômbua,-15.80003172,11.85998897,Angola,Namibe
Xangongo,-16.74002602,14.96998002,Angola,Cunene
Artigas Base,-62.17388669,-58.86386407,Antarctica,
Great Wall Station,-62.21631997,-58.9666956,Antarctica,
Rothera Station,-67.56477559999999,-68.12354055,Antarctica,
25 de Mayo,-37.80003253,-67.68329533,Argentina,Río Negro
Cerrillos,-24.89963133,-65.48330042,Argentina,Salta
Chumbicha,-28.86662433,-66.23330632,Argentina,Catamarca
Frias,-28.64958331,-65.14998743,Argentina,Santiago del Estero
General Conesa,-40.10004718,-64.43328699,Argentina,Río Negro
Las Heras,-32.82503904,-68.80167668,Argentina,Mendoza
Olavarria,-36.90003579,-60.3299974,Argentina,Ciudad de Buenos Aires
Pergamino,-33.89959878,-60.56998275,Argentina,Ciudad de Buenos Aires
Perito Moreno,-46.60001219,-70.93335535,Argentina,Santa Cruz
Puerto Madryn,-42.77001341,-65.04001998,Argentina,Chubut
Rosario,-32.95112954,-60.66630762,Argentina,Santa Fe
Salta,-24.78335936,-65.41663782,Argentina,Salta
San Nicolas,-33.33002114,-60.24000289,Argentina,Ciudad de Buenos Aires
