"GPStime","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl","Q-value"
1182836167.698,137.711,56.263,7.41e-22,3704.955,1.500,7374.007800,0.000,0.000,1.000,"qRiJ5bIbxK","H1","Repeating_Blips","https://ldas-jobs.ligo-wa.caltech.edu/~scoughlin/O2/GravitySpy/Format/Feb152017/images/ML/Classified/qRiJ5bIbxK.png",5.657
1186797583.188,65.438,22.602,3.45e-22,2669.345,2.375,5233.773800,0.000,0.000,1.000,"R0SqxaGNYE","H1","Power_Line","https://ldas-jobs.ligo-wa.caltech.edu/~scoughlin/O2/GravitySpy/Format/Feb152017/images/ML/Classified/R0SqxaGNYE.png",45.255
1175571109.188,65.438,17.940,1.49e-22,2837.654,2.250,5570.391700,0.000,0.000,1.000,"OZyafmi8lQ","H1","Power_Line","https://ldas-jobs.ligo-wa.caltech.edu/~scoughlin/O2/GravitySpy/Format/Feb152017/images/ML/Classified/OZyafmi8lQ.png",45.255
1164876401.082,1075.609,17.353,3.33e-22,4382.108,0.809,7136.748535,0.000,0.000,1.000,"QnaUhn1Rdj","H1","1080Lines","https://ldas-jobs.ligo-wa.caltech.edu/~scoughlin/O2/GravitySpy/Format/Feb152017/images/ML/Classified/QnaUhn1Rdj.png",45.255
1167767137.879,1096.149,16.675,5.31e-22,3977.720,4.628,7945.525879,0.000,0.000,1.000,"jP4FUBtXj3","H1","1080Lines","https://ldas-jobs.ligo-wa.caltech.edu/~scoughlin/O2/GravitySpy/Format/Feb152017/images/ML/Classified/jP4FUBtXj3.png",45.255
1180991604.813,62.416,16.663,1.64e-22,66.508,2.250,28.099180,0.000,0.000,1.000,"2ZlieBKtth","H1","Power_Line","https://ldas-jobs.ligo-wa.caltech.edu/~scoughlin/O2/GravitySpy/Format/Feb152017/images/ML/Classified/2ZlieBKtth.png",45.255
1165769137.004,1085.830,16.383,4.10e-22,4001.470,1.570,7898.024414,0.000,0.000,1.000,"jLXw0Q4MEC","H1","1080Lines","https://ldas-jobs.ligo-wa.caltech.edu/~scoughlin/O2/GravitySpy/Format/Feb152017/images/ML/Classified/jLXw0Q4MEC.png",45.255
1185609100.568,1526.274,15.262,2.62e-21,3887.657,0.906,7720.182000,0.000,0.000,1.000,"SFYi76UDVS","H1","Violin_Mode","https://ldas-jobs.ligo-wa.caltech.edu/~scoughlin/O2/GravitySpy/Format/Feb152017/images/ML/Classified/SFYi76UDVS.png",11.314
1166331693.262,1096.149,15.138,3.95e-22,4319.224,1.396,7262.519043,0.000,0.000,1.000,"OapVIHHJws","H1","1080Lines","https://ldas-jobs.ligo-wa.caltech.edu/~scoughlin/O2/GravitySpy/Format/Feb152017/images/ML/Classified/OapVIHHJws.png",45.255
