SOC;Temp;R_Ch(T=293,15);R_Ch(T=298,15);R_Ch(T=303,15);R_DCh(T=293,15);R_DCh(298,15);R_DCh(303,15)
0,1;293,15;0,06632;0,05524;0,045439999999999994;0,06952000000000001;0,05624;0,04844
0,3;298,15;0,0482;0,040639999999999996;0,03532;0,046680000000000006;0,04008;0,03612
0,5;303,15;0,0462;0,03964;0,03456;0,04192;0,03724;0,0322
0,7;;0,04563999999999999;0,0392;0,039;0,04512;0,03763999999999999;0,030760000000000003
0,9;;0,061680000000000006;0,054599999999999996;0,048839999999999995;0,053424;0,04776;0,04148
