,epsilon,Teff,log_g_
1435467,1.114,6331.0,4.093
2837475,0.911,6642.0,4.164
3424541,0.9223,6100.0,3.7960000000000003
3425851,1.1647,6342.0,4.242
3427720,1.356,6045.0,4.378
3456181,0.988,6372.0,3.927
3544595,1.523,5648.0,4.4719999999999995
3632418,1.114,6202.0,4.026
3656476,1.445,5666.0,4.224
3733735,0.9439,6676.0,4.274
3735871,1.325,6108.0,4.386
4141376,1.3231,6147.0,4.412
4143755,1.4889,5671.0,4.093999999999999
4349452,1.1641,6267.0,4.28
4914423,1.4005,5880.0,4.154
4914923,1.377,5817.0,4.212
5094751,1.236,5945.0,4.213
5184732,1.374,5835.0,4.257
5607242,1.3608,5485.0,3.76
5773345,1.077,6127.0,3.991
5866724,1.2247,6181.0,4.22
5950854,1.431,5862.0,4.239
5955122,1.2039,5877.0,3.872
6106415,1.343,6028.0,4.295
6116048,1.336,6031.0,4.269
6196457,1.3155,5862.0,4.05
6225718,1.225,6320.0,4.316
6278762,1.4976,5051.0,4.562
6508366,1.006,6331.0,3.928
6521045,1.3439,5788.0,4.122
6603624,1.492,5671.0,4.319
6679371,0.88,6490.0,3.9219999999999997
6933899,1.319,5835.0,4.09
7103006,0.978,6332.0,4.016
7106245,1.392,6082.0,4.266
7199397,1.1882,5903.0,3.7569999999999997
7206837,1.054,6324.0,4.171
7296438,1.358,5782.0,4.17
7510397,1.112,6156.0,4.013
7670943,1.1449,6477.0,4.224
7680114,1.368,5796.0,4.178
7747078,1.3184,5903.0,3.905
7771282,1.117,6250.0,4.121
7799349,1.4921,5108.0,3.6889999999999996
7871531,1.504,5505.0,4.474
7940546,1.075,6244.0,3.986
7970740,1.455,5308.0,4.56
7976303,1.1793,6079.0,3.892
8006161,1.547,5478.0,4.487
8026226,1.0116,6224.0,3.699
8077137,1.2647,6063.0,4.061
8150065,1.163,6263.0,4.218999999999999
8179536,1.153,6329.0,4.271
8228742,1.158,6115.0,4.015
8292840,1.1744,6214.0,4.238
8349582,1.3535,5644.0,4.162
8379927,1.311,6022.0,4.397
8394589,1.267,6147.0,4.309
8424992,1.517,5721.0,4.368
8478994,1.5367,5437.0,4.571000000000001
8494142,1.2544,6143.0,4.039
8524425,1.3992,5543.0,3.969
8554498,1.3261,5937.0,4.012
8684730,1.4557,5877.0,3.927
8694723,1.113,6247.0,4.1
8702606,1.3548,5529.0,3.759
8760414,1.4,5931.0,4.346
8866102,1.1244,6407.0,4.268
8938364,1.444,5689.0,4.159
9025370,1.475,5667.0,4.393
9098294,1.439,5858.0,4.3
9139151,1.337,6299.0,4.378
9139163,1.007,6405.0,4.191
9206432,0.958,6527.0,4.232
9353712,1.095,6264.0,3.925
9410862,1.343,6046.0,4.316
9414417,1.045,6247.0,4.016
9574283,1.4721,5188.0,3.596
9592705,1.1367,6150.0,3.96
9812850,1.067,6322.0,4.047
9955598,1.529,5455.0,4.497
9965715,1.139,6483.0,4.42
10018963,1.0555,6177.0,3.9330000000000003
10068307,1.131,6136.0,3.9219999999999997
10079226,1.35,5945.0,4.372
10162436,1.106,6154.0,3.957
10355856,0.7847,6435.0,4.073
10454113,1.206,6183.0,4.303
10514430,1.4091,5729.0,4.058
10516096,1.318,5953.0,4.18
10586004,1.4783,5758.0,4.072
10644253,1.313,6036.0,4.402
10666592,0.9811,6440.0,4.019
10730618,1.032,6423.0,4.1419999999999995
10909629,1.0085,6260.0,3.8989999999999996
10963065,1.275,6139.0,4.291
11026764,1.3359,5636.0,3.8930000000000002
11081729,1.02,6561.0,4.258
11133306,1.3196,5978.0,4.316
11193681,1.3287,5575.0,3.793
11244118,1.3777,5727.0,4.096
11253226,0.92,6646.0,4.172
11295426,1.3862,5790.0,4.279
11395018,1.3484,5753.0,3.645
11401755,1.2046,5919.0,4.042
11414712,1.2556,5622.0,3.802
11717120,1.5259,5078.0,3.679
11771760,1.1841,5796.0,3.673
11772920,1.516,5346.0,4.44
11807274,1.167,6237.0,4.136
11853905,1.3485,5795.0,4.101
11904151,1.3861,5676.0,4.3469999999999995
12009504,1.2,6175.0,4.215
12069127,1.061,6264.0,3.892
12069424,1.437,5775.0,4.294
12069449,1.461,5745.0,4.359
12258514,1.281,5964.0,4.111000000000001
12317678,0.928,6575.0,4.059
12508433,1.4307,5303.0,3.833
