Date (undefined);RA (h);DEC (deg);Dobs (au);VMag (mag);dRAcosDEC (arcsec/min);dDEC (arcsec/min);RV (km/s)
2458484.5;18.72527311;-23.0599232;0.983352222486;-26.78;2.5742218;0.1952328;0.0958684
2458485.5;18.79888869;-22.979575;0.983345072742;-26.78;2.5729091;0.2143915;0.1040859
2458486.5;18.87241821;-22.8915882;0.9833421109;-26.78;2.5714025;0.2334488;0.1120025
2458487.5;18.94585222;-22.7960047;0.983343187422;-26.78;2.5697018;0.2523944;0.1196981
2458488.5;19.01918137;-22.6928705;0.983348199549;-26.78;2.5678083;0.2712183;0.1272525
2458489.5;19.0923965;-22.5822355;0.983357090509;-26.78;2.5657251;0.2899103;0.134743
2458490.5;19.16548865;-22.4641537;0.983369847494;-26.78;2.5634565;0.3084606;0.1422426
2458491.5;19.23844916;-22.3386829;0.983386498559;-26.78;2.5610079;0.3268597;0.1498179
2458492.5;19.31126965;-22.2058848;0.983407108787;-26.78;2.5583859;0.345098;0.1575286
2458493.5;19.3839421;-22.0658246;0.983431776251;-26.78;2.5555976;0.3631666;0.1654276
2458494.5;19.45645882;-21.9185711;0.983460628382;-26.78;2.5526508;0.3810567;0.1735624
2458495.5;19.52881252;-21.7641966;0.983493819249;-26.78;2.5495537;0.3987601;0.1819766
2458496.5;19.60099631;-21.6027765;0.983531528;-26.78;2.5463153;0.4162687;0.190712
2458497.5;19.6730037;-21.4343894;0.983573958348;-26.78;2.542945;0.4335752;0.1998105
2458498.5;19.74482867;-21.2591167;0.983621338405;-26.78;2.5394536;0.4506724;0.209313
2458499.5;19.81646567;-21.0770426;0.983673919549;-26.78;2.5358534;0.4675541;0.2192568
2458500.5;19.8879097;-20.8882536;0.983731972238;-26.78;2.5321583;0.4842145;0.2296678
2458501.5;19.95915634;-20.6928383;0.983795776161;-26.78;2.5283845;0.5006486;0.2405483
2458502.5;20.03020182;-20.4908872;0.983865602275;-26.78;2.5245495;0.5168524;0.2518619
