"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","category","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","correct_keyboard_response","correct_response","count_about_this_example","count_block_loop","count_block_sequence","count_counterbalance","count_end_of_practice","count_experiment","count_experimental_loop","count_feedback","count_fixation","count_goodbye","count_green_fix","count_instructions","count_keyboard_response","count_logger","count_practice_loop","count_red_fix","count_reset_feedback","count_trial_sequence","count_word","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_loop","live_row_practice_loop","logfile","mouse_backend","nonword_response","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_end_of_practice","response_feedback","response_goodbye","response_instructions","response_keyboard_response","response_time","response_time_end_of_practice","response_time_feedback","response_time_goodbye","response_time_instructions","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","target","time_about_this_example","time_block_loop","time_block_sequence","time_counterbalance","time_end_of_practice","time_experiment","time_experimental_loop","time_feedback","time_fixation","time_goodbye","time_green_fix","time_instructions","time_keyboard_response","time_logger","time_practice_loop","time_red_fix","time_reset_feedback","time_trial_sequence","time_word","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_response"
"100","100","614.6462420001626","614.6462420001626","gray","no","psycho","nonword","psycho","psycho","0","relative","1","undefined","1","[nonword_response]","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","zo 05 jan 2020 16:26:00 CET","A simple lexical-decision example experiment","yes","experiment.osexp","/home/sebastiaan/git/OpenSesame/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","psycho","0","0","0","/home/sebastiaan/git/OpenSesame/opensesame_extensions/example_experiments/examples/lexical_decision/quickrun.csv","psycho","m","Lentiform Loewenfeld","3.3.0a49","yes","0","m","NA","NA","NA","space","m","614.6462420001626","NA","NA","NA","2754.5387279969873","614.6462420001626","2","psycho","1024","2","48000","-16","experiment","999","odd","legacy","ourtel","NA","5042.637442005798","5042.128461995162","2253.8181559939403","NA","2253.493135998724","NA","NA","5113.766120994114","NA","6234.417240993935","2283.1282800034387","5617.129331003525","6735.156106005888","5040.172758002882","NA","NA","5104.923186998349","5616.715394993662","Lexical decision","1","614.6462420001626","1","no","1024","z"
"100","100","501.4785680032219","501.4785680032219","gray","no","psycho","word","psycho","psycho","0","relative","1","undefined","1","[word_response]","0","0","0","0","0","0","0","NA","1","0","1","0","1","1","0","1","0","1","1","zo 05 jan 2020 16:26:00 CET","A simple lexical-decision example experiment","yes","experiment.osexp","/home/sebastiaan/git/OpenSesame/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","psycho","1","1","0","/home/sebastiaan/git/OpenSesame/opensesame_extensions/example_experiments/examples/lexical_decision/quickrun.csv","psycho","m","Lentiform Loewenfeld","3.3.0a49","yes","0","z","NA","NA","NA","space","z","388.31089400628116","NA","NA","NA","2754.5387279969873","388.31089400628116","2","psycho","1024","2","48000","-16","experiment","999","odd","legacy","turtle","NA","5042.637442005798","5042.128461995162","2253.8181559939403","NA","2253.493135998724","NA","NA","6900.293519007391","NA","7794.289432000369","2283.1282800034387","7403.414033993613","8294.868411001517","5040.172758002882","NA","NA","6898.003549998975","7403.100188996177","Lexical decision","2","1002.9571360064438","2","no","1024","z"
"66.66666666666667","66.66666666666667","653.4850606694818","653.4850606694818","gray","no","psycho","word","psycho","psycho","0","relative","0","undefined","0","[word_response]","0","0","0","0","0","0","0","NA","2","0","2","0","2","2","0","2","0","2","2","zo 05 jan 2020 16:26:00 CET","A simple lexical-decision example experiment","yes","experiment.osexp","/home/sebastiaan/git/OpenSesame/opensesame_extensions/example_experiments/examples/lexical_decision","no","mono","no","32","no","white","no","no","768","psycho","2","2","0","/home/sebastiaan/git/OpenSesame/opensesame_extensions/example_experiments/examples/lexical_decision/quickrun.csv","psycho","m","Lentiform Loewenfeld","3.3.0a49","yes","0","m","NA","NA","NA","space","m","957.4980460020015","NA","NA","NA","2754.5387279969873","957.4980460020015","2","psycho","1024","2","48000","-16","experiment","999","odd","legacy","apple","NA","5042.637442005798","5042.128461995162","2253.8181559939403","NA","2253.493135998724","NA","NA","8430.967905995203","NA","7794.289432000369","2283.1282800034387","8934.187867998844","10395.024847006425","5040.172758002882","9894.335670993314","NA","8428.879825005424","8933.806678003748","Lexical decision","2","1960.4551820084453","3","no","1024","z"
