DOD;f_ri_cyc
0;0,0000000000
0,001;0,0000002937
0,002;0,0000005873
0,003;0,0000008810
0,004;0,0000011747
0,005;0,0000014683
0,006;0,0000017620
0,007;0,0000020557
0,008;0,0000023493
0,009;0,0000026430
0,01;0,0000029367
0,011;0,0000032303
0,012;0,0000035240
0,013;0,0000038177
0,014;0,0000041113
0,015;0,0000044050
0,016;0,0000046987
0,017;0,0000049923
0,018;0,0000052860
0,019;0,0000055797
0,02;0,0000058733
0,021;0,0000061670
0,022;0,0000064607
0,023;0,0000067543
0,024;0,0000070480
0,025;0,0000073417
0,026;0,0000076353
0,027;0,0000079290
0,028;0,0000082227
0,029;0,0000085163
0,03;0,0000088100
0,031;0,0000091037
0,032;0,0000093973
0,033;0,0000096910
0,034;0,0000099847
0,035;0,0000102783
0,036;0,0000105720
0,037;0,0000108657
0,038;0,0000111593
0,039;0,0000114530
0,04;0,0000117467
0,041;0,0000120403
0,042;0,0000123340
0,043;0,0000126277
0,044;0,0000129213
0,045;0,0000132150
0,046;0,0000135087
0,047;0,0000138023
0,048;0,0000140960
0,049;0,0000143897
0,05;0,0000146833
0,051;0,0000149770
0,052;0,0000152707
0,053;0,0000155643
0,054;0,0000158580
0,055;0,0000161517
0,056;0,0000164453
0,057;0,0000167390
0,058;0,0000170327
0,059;0,0000173263
0,06;0,0000176200
0,061;0,0000179137
0,062;0,0000182073
0,063;0,0000185010
0,064;0,0000187947
0,065;0,0000190883
0,066;0,0000193820
0,067;0,0000196757
0,068;0,0000199693
0,069;0,0000202630
0,07;0,0000205567
0,071;0,0000208503
0,072;0,0000211440
0,073;0,0000214377
0,074;0,0000217313
0,075;0,0000220250
0,076;0,0000223187
0,077;0,0000226123
0,078;0,0000229060
0,079;0,0000231997
0,08;0,0000234933
0,081;0,0000237870
0,082;0,0000240807
0,083;0,0000243743
0,084;0,0000246680
0,085;0,0000249617
0,086;0,0000252553
0,087;0,0000255490
0,088;0,0000258427
0,089;0,0000261363
0,09;0,0000264300
0,091;0,0000267237
0,092;0,0000270173
0,093;0,0000273110
0,094;0,0000276047
0,095;0,0000278983
0,096;0,0000281920
0,097;0,0000284857
0,098;0,0000287793
0,099;0,0000290730
0,1;0,0000293667
0,101;0,0000296603
0,102;0,0000299540
0,103;0,0000302477
0,104;0,0000305413
0,105;0,0000308350
0,106;0,0000311287
0,107;0,0000314223
0,108;0,0000317160
0,109;0,0000320097
0,11;0,0000323033
0,111;0,0000325970
0,112;0,0000328907
0,113;0,0000331843
0,114;0,0000334780
0,115;0,0000337717
0,116;0,0000340653
0,117;0,0000343590
0,118;0,0000346527
0,119;0,0000349463
0,12;0,0000352400
0,121;0,0000355337
0,122;0,0000358273
0,123;0,0000361210
0,124;0,0000364147
0,125;0,0000367083
0,126;0,0000370020
0,127;0,0000372957
0,128;0,0000375893
0,129;0,0000378830
0,13;0,0000381767
0,131;0,0000384703
0,132;0,0000387640
0,133;0,0000390577
0,134;0,0000393513
0,135;0,0000396450
0,136;0,0000399387
0,137;0,0000402323
0,138;0,0000405260
0,139;0,0000408197
0,14;0,0000411133
0,141;0,0000414070
0,142;0,0000417007
0,143;0,0000419943
0,144;0,0000422880
0,145;0,0000425817
0,146;0,0000428753
0,147;0,0000431690
0,148;0,0000434627
0,149;0,0000437563
0,15;0,0000440500
0,151;0,0000443437
0,152;0,0000446373
0,153;0,0000449310
0,154;0,0000452247
0,155;0,0000455183
0,156;0,0000458120
0,157;0,0000461057
0,158;0,0000463993
0,159;0,0000466930
0,16;0,0000469867
0,161;0,0000472803
0,162;0,0000475740
0,163;0,0000478677
0,164;0,0000481613
0,165;0,0000484550
0,166;0,0000487487
0,167;0,0000490423
0,168;0,0000493360
0,169;0,0000496297
0,17;0,0000499233
0,171;0,0000502170
0,172;0,0000505107
0,173;0,0000508043
0,174;0,0000510980
0,175;0,0000513917
0,176;0,0000516853
0,177;0,0000519790
0,178;0,0000522727
0,179;0,0000525663
0,18;0,0000528600
0,181;0,0000531537
0,182;0,0000534473
0,183;0,0000537410
0,184;0,0000540347
0,185;0,0000543283
0,186;0,0000546220
0,187;0,0000549157
0,188;0,0000552093
0,189;0,0000555030
0,19;0,0000557967
0,191;0,0000560903
0,192;0,0000563840
0,193;0,0000566777
0,194;0,0000569713
0,195;0,0000572650
0,196;0,0000575587
0,197;0,0000578523
0,198;0,0000581460
0,199;0,0000584397
0,2;0,0000587333
0,201;0,0000590270
0,202;0,0000593207
0,203;0,0000596143
0,204;0,0000599080
0,205;0,0000602017
0,206;0,0000604953
0,207;0,0000607890
0,208;0,0000610827
0,209;0,0000613763
0,21;0,0000616700
0,211;0,0000619637
0,212;0,0000622573
0,213;0,0000625510
0,214;0,0000628447
0,215;0,0000631383
0,216;0,0000634320
0,217;0,0000637257
0,218;0,0000640193
0,219;0,0000643130
0,22;0,0000646067
0,221;0,0000649003
0,222;0,0000651940
0,223;0,0000654877
0,224;0,0000657813
0,225;0,0000660750
0,226;0,0000663687
0,227;0,0000666623
0,228;0,0000669560
0,229;0,0000672497
0,23;0,0000675433
0,231;0,0000678370
0,232;0,0000681307
0,233;0,0000684243
0,234;0,0000687180
0,235;0,0000690117
0,236;0,0000693053
0,237;0,0000695990
0,238;0,0000698927
0,239;0,0000701863
0,24;0,0000704800
0,241;0,0000707737
0,242;0,0000710673
0,243;0,0000713610
0,244;0,0000716547
0,245;0,0000719483
0,246;0,0000722420
0,247;0,0000725357
0,248;0,0000728293
0,249;0,0000731230
0,25;0,0000734167
0,251;0,0000737103
0,252;0,0000740040
0,253;0,0000742977
0,254;0,0000745913
0,255;0,0000748850
0,256;0,0000751787
0,257;0,0000754723
0,258;0,0000757660
0,259;0,0000760597
0,26;0,0000763533
0,261;0,0000766470
0,262;0,0000769407
0,263;0,0000772343
0,264;0,0000775280
0,265;0,0000778217
0,266;0,0000781153
0,267;0,0000784090
0,268;0,0000787027
0,269;0,0000789963
0,27;0,0000792900
0,271;0,0000805626
0,272;0,0000818353
0,273;0,0000831079
0,274;0,0000843805
0,275;0,0000856532
0,276;0,0000869258
0,277;0,0000881984
0,278;0,0000894710
0,279;0,0000907437
0,28;0,0000920163
0,281;0,0000932889
0,282;0,0000945616
0,283;0,0000958342
0,284;0,0000971068
0,285;0,0000983795
0,286;0,0000996521
0,287;0,0001009247
0,288;0,0001021973
0,289;0,0001034700
0,29;0,0001047426
0,291;0,0001060152
0,292;0,0001072879
0,293;0,0001085605
0,294;0,0001098331
0,295;0,0001111058
0,296;0,0001123784
0,297;0,0001136510
0,298;0,0001149237
0,299;0,0001161963
0,3;0,0001174689
0,301;0,0001187415
0,302;0,0001200142
0,303;0,0001212868
0,304;0,0001225594
0,305;0,0001238321
0,306;0,0001251047
0,307;0,0001263773
0,308;0,0001276500
0,309;0,0001289226
0,31;0,0001301952
0,311;0,0001314678
0,312;0,0001327405
0,313;0,0001340131
0,314;0,0001352857
0,315;0,0001365584
0,316;0,0001378310
0,317;0,0001391036
0,318;0,0001403763
0,319;0,0001416489
0,32;0,0001429215
0,321;0,0001441942
0,322;0,0001454668
0,323;0,0001467394
0,324;0,0001480120
0,325;0,0001492847
0,326;0,0001505573
0,327;0,0001518299
0,328;0,0001531026
0,329;0,0001543752
0,33;0,0001556478
0,331;0,0001569205
0,332;0,0001581931
0,333;0,0001594657
0,334;0,0001607383
0,335;0,0001620110
0,336;0,0001632836
0,337;0,0001645562
0,338;0,0001658289
0,339;0,0001671015
0,34;0,0001683741
