SOC;OCV
0,00124;3,33
0,0165;3,36
0,0347;3,4
0,0529;3,43
0,0677;3,45
0,083;3,47
0,0983;3,49
0,113;3,51
0,129;3,53
0,15;3,55
0,166;3,56
0,19;3,58
0,217;3,59
0,245;3,61
0,276;3,62
0,307;3,63
0,34;3,64
0,371;3,65
0,41;3,66
0,437;3,67
0,468;3,68
0,493;3,7
0,525;3,72
0,548;3,73
0,574;3,75
0,597;3,77
0,62;3,79
0,648;3,82
0,672;3,84
0,699;3,87
0,727;3,89
0,753;3,92
0,791;3,96
0,823;3,99
0,856;4,03
0,883;4,06
0,9;4,07
0,919;4,09
0,938;4,11
0,958;4,13
0,979;4,14
0,999;4,16
