SOC;Temp;R_Ch(T=248,15);R_Ch(T=263,15);R_Ch(T=273,15);R_Ch(T=283,15);R_Ch(T=298,15);R_Ch(T=313,15);R_Dch(T=248,15);R_Dch(T=263,15);R_Dch(T=273,15);R_Dch(T=283,15);R_Dch(T=298,15);R_Dch(T=313,15)
0;248,15;0,0348;0,0119;0,0053;0,0031;0,0019;0,0015;0,0567;0,0168;0,008;0,0043;0,0026;0,0016
0,05;263,15;0,0348;0,0119;0,0053;0,0031;0,0019;0,0015;0,0567;0,0168;0,008;0,0043;0,0026;0,0016
0,2;273,18;0,0292;0,0094;0,0043;0,0025;0,0016;0,0012;0,027;0,0087;0,0046;0,0029;0,002;0,0015
0,35;283,15;0,027;0,0088;0,0041;0,0024;0,0015;0,0012;0,0148;0,0062;0,0036;0,0024;0,0018;0,0013
0,5;298,15;0,0279;0,0088;0,0041;0,0025;0,0016;0,0012;0,0109;0,0055;0,0034;0,0023;0,0018;0,0013
0,65;313,15;0,0287;0,0086;0,0041;0,0025;0,0016;0,0013;0,0094;0,0051;0,0031;0,0022;0,0017;0,0013
0,8;;0,0292;0,0092;0,0043;0,0026;0,0017;0,0013;0,0087;0,0047;0,003;0,0022;0,0017;0,0014
0,95;;0,0276;0,0084;0,0039;0,0025;0,0017;0,0013;0,0085;0,0047;0,003;0,0023;0,0018;0,0014
1;;0,0276;0,0084;0,0039;0,0025;0,0017;0,0013;0,0085;0,0047;0,003;0,0023;0,0018;0,0014
