SOC;OCV
0;3,44135889686433
0,01;3,45532435415220
0,02;3,46836544149393
0,03;3,48052959899808
0,04;3,4918642667732
0,05;3,50241688492785
0,06;3,51223489357057
0,07;3,52136573280991
0,08;3,52985684275443
0,09;3,53775566351268
0,1;3,54511495538286
0,11;3,55206470006907
0,12;3,55879312809599
0,13;3,56548990084733
0,14;3,5723157987588
0,15;3,57924007296444
0,16;3,5861540152167
0,17;3,59294869319669
0,18;3,59953528569699
0,19;3,60589288086327
0,2;3,6120148860708
0,21;3,61789478261833
0,22;3,62353264649354
0,23;3,62894025953645
0,24;3,63413060649304
0,25;3,63911623398827
0,26;3,64389986818095
0,27;3,64847455508599
0,28;3,65283293066353
0,29;3,65697110373509
0,3;3,66091772707417
0,31;3,66471924583268
0,32;3,66842228609697
0,33;3,67207170363145
0,34;3,6757042123351
0,35;3,6793541869492
0,36;3,6830559776528
0,37;3,68683703790919
0,38;3,69070848043683
0,39;3,69467905123613
0,4;3,69875751021795
0,41;3,70295314475375
0,42;3,70727591980341
0,43;3,71173584485451
0,44;3,71634229057253
0,45;3,72109600751803
0,46;3,72599155996195
0,47;3,73102337697331
0,48;3,73618731216895
0,49;3,74148814590404
0,5;3,74693410882625
0,51;3,75253343918938
0,52;3,75829493209399
0,53;3,7642291709539
0,54;3,7703470974608
0,55;3,77665963296882
0,56;3,78317611038618
0,57;3,78990316162456
0,58;3,79684715589605
0,59;3,8040143012003
0,6;3,81140748161429
0,61;3,81902645756939
0,62;3,82687086838839
0,63;3,83494014196967
0,64;3,84323186363597
0,65;3,85174266896117
0,66;3,86046918563955
0,67;3,86940843395595
0,68;3,87855912190771
0,69;3,88792041091752
0,7;3,89749144893335
0,71;3,90726845217522
0,72;3,91724105914632
0,73;3,92739801263457
0,74;3,93772811934704
0,75;3,94822237583913
0,76;3,95887446356548
0,77;3,96967822820113
0,78;3,98062725145876
0,79;3,99171181151417
0,8;4,00291993807392
0,81;4,01423961773671
0,82;4,02565930968591
0,83;4,03717023178807
0,84;4,04876460007888
0,85;4,06043463183162
0,86;4,07217236883604
0,87;4,08396933284918
0,88;4,09581694974994
0,89;4,10770666762939
0,9;4,1196313608712
0,91;4,13158617015708
0,92;4,14356643775868
0,93;4,15556750594767
0,94;4,16758471699569
0,95;4,17961341317442
0,96;4,19164893675552
0,97;4,20368663001063
0,98;4,21572183521142
0,99;4,22774989462956
1;4,23976615053669
