SOC;Temp (K);C_Rate;"R_Ch(T=278,15 K; 0,25 C)";"R_Ch(T=278,15 K; 0,5 C)";"R_Ch(T=278, 15K; 0,75 C)";"R_Ch(T=278,15 K; 1 C)";"R_Ch(T=278,15 K; 1,25 C)";"R_Ch(T=278,15 K; 1,5 C)";"R_Ch(T=288,15 K; 0,25 C)";"R_Ch(T=288,15 K; 0,5 C)";"R_Ch(T=288,15 K; 0,75 C)";"R_Ch(T=288,15 K; 1 C)";"R_Ch(T=288,15 K; 1,25 C)";"R_Ch(T=288,15 K; 1,5 C)";"R_Ch(T=298,15 K; 0,25 C)";"R_Ch(T=298,15 K; 0,5 C)";"R_Ch(T=298,15 K; 0,75 C)";"R_Ch(T=298,15 K; 1 C)";"R_Ch(T=298,15 K; 1,25 C)";"R_Ch(T=298,15 K; 1,5 C)";"R_Ch(T=308,15 K; 0,25 C)";"R_Ch(T=308,15 K; 0,5 C)";"R_Ch(T=308,15 K; 0,75 C)";"R_Ch(T=308,15 K; 1 C)";"R_Ch(T=308,15 K; 1,25 C)";"R_Ch(T=308,15 K; 1,5 C)";"R_DCh(T=278,15 K; 0,25 C)";"R_DCh(T=278,15 K; 0,5 C)";"R_DCh(T=278, 15K; 0,75 C)";"R_DCh(T=278,15 K; 1 C)";"R_DCh(T=278,15 K; 1,25 C)";"R_DCh(T=278,15 K; 1,5 C)";"R_DCh(T=288,15 K; 0,25 C)";"R_DCh(T=288,15 K; 0,5 C)";"R_DCh(T=288,15 K; 0,75 C)";"R_DCh(T=288,15 K; 1 C)";"R_DCh(T=288,15 K; 1,25 C)";"R_DCh(T=288,15 ; 1,5 C)";"R_DCh(T=298,15 K; 0,25 C)";"R_DCh(T=298,15 K; 0,5 C)";"R_DCh(T=298,15 K; 0,75 C)";"R_DCh(T=298,15 K; 1 C)";"R_DCh(T=298,15 K; 1,25 C)";"R_DCh(T=298,15 K; 1,5 C)";"R_DCh(T=308,15 K; 0,25 C)";"R_DCh(T=308,15 K; 0,5 C)";"R_DCh(T=308,15 K; 0,75 C)";"R_DCh(T=308,15 K; 1 C)";"R_DCh(T=308,15 K; 1,25 C)";"R_DCh(T=308,15 K; 1,5 C)"
0;278,15;0,25;2,416313757;2,373001796;2,323925656;2,261730816;2,200562623;2,143329854;1,52920594;1,519411307;1,503896409;1,491243154;1,476110629;1,461178228;1,198821941;1,18892879;1,179944954;1,170343357;1,164776224;1,157923247;1,094917603;1,090410477;1,082366953;1,073633048;1,068654795;1,06665622;2,472258063;2,504438425;2,525684388;2,53863659;2,542230952;2,53848673;1,547258063;1,561368704;1,578974487;1,597290243;1,610001379;1,626334326;1,208904823;1,208115473;1,20796606;1,215243988;1,22336326;1,223853318;1,086159086;1,090218083;1,091751693;1,095014719;1,094961641;1,098091454
0,05;288,15;0,5;2,416313757;2,373001796;2,323925656;2,261730816;2,200562623;2,143329854;1,52920594;1,519411307;1,503896409;1,491243154;1,476110629;1,461178228;1,198821941;1,18892879;1,179944954;1,170343357;1,164776224;1,157923247;1,094917603;1,090410477;1,082366953;1,073633048;1,068654795;1,06665622;2,472258063;2,504438425;2,525684388;2,53863659;2,542230952;2,53848673;1,547258063;1,561368704;1,578974487;1,597290243;1,610001379;1,626334326;1,208904823;1,208115473;1,20796606;1,215243988;1,22336326;1,223853318;1,086159086;1,090218083;1,091751693;1,095014719;1,094961641;1,098091454
0,1;298,15;0,75;2,256161457;2,241239972;2,213468086;2,167388435;2,119162447;2,070997736;1,443578028;1,429744528;1,428264435;1,420236579;1,410079387;1,404552009;1,123201233;1,123299905;1,123304412;1,123166089;1,117521624;1,112185315;1,047358695;1,033612479;1,035141019;1,036108753;1,034530951;1,036809853;2,28259549;2,282496343;2,28284519;2,257555172;2,232347307;2,209566538;1,45245656;1,45254657;1,456194723;1,460198704;1,462599285;1,462472263;1,142199156;1,13729199;1,138840561;1,137294828;1,140114068;1,143557387;1,057068074;1,038360677;1,044444574;1,045458201;1,047814038;1,047675683
0,15;308,15;1;2,1795852;2,164741047;2,1320005;2,089614488;2,049124066;2,006419426;1,386475092;1,382495972;1,374625552;1,370808507;1,370282091;1,359096087;1,094667957;1,094628414;1,088482468;1,085397421;1,08561116;1,084050479;1,01958259;1,009978677;1,01325022;1,014851154;1,011995359;1,014661792;2,169345867;2,160257827;2,131891768;2,101387345;2,066117921;2,033269727;1,376741171;1,381736803;1,390181622;1,386978124;1,383342726;1,382446145;1,085058596;1,090075877;1,09505216;1,094812962;1,10050955;1,098083481;0,991704882;1,01952599;1,01969771;1,01715542;1,02134732;1,021053228
0,2;;1,25;2,103370915;2,094759733;2,056200786;2,023705636;1,989024592;1,948003219;1,33908788;1,335432637;1,33347947;1,326209922;1,325163108;1,321122614;1,057059146;1,061933192;1,057116149;1,057023962;1,055238679;1,054161216;0,991528897;0,986411396;0,984954373;0,988808818;0,987400124;0,98958111;2,112661859;2,074449903;2,040668009;1,999784661;1,960392182;1,921632704;1,33926494;1,344316309;1,339949646;1,335158792;1,330340159;1,327385944;1,057097834;1,061441986;1,060245451;1,057232985;1,068471771;1,064897743;1,000938197;0,98637668;0,991261409;0,993570034;0,993085699;0,999129407
0,25;;1,5;2,047522935;2,028197441;2,009060794;1,976705484;1,941386906;1,903845254;1,312043257;1,301986035;1,298763231;1,293128892;1,29500605;1,292696569;1,038060349;1,042697042;1,038149967;1,033780139;1,032718438;1,033678693;0,981903223;0,97245226;0,972268654;0,967578342;0,968522662;0,9721748;2,026796668;1,99532562;1,968214701;1,929220138;1,886780894;1,847269521;1,301238986;1,297099865;1,302104261;1,294929921;1,294548314;1,288047478;1,038542711;1,028601101;1,04140506;1,040528866;1,038220102;1,038193891;0,953023515;0,972299195;0,975590349;0,974731945;0,972347163;0,976980233
0,3;;;2,046408011;2,047014226;2,012233698;1,974632524;1,941614268;1,903850726;1,311941306;1,292804213;1,295852332;1,293324727;1,291243294;1,288195032;1,028614751;1,033609985;1,032073592;1,031377868;1,03085851;1,030528403;0,972387907;0,967577661;0,969398745;0,967671324;0,96667002;0,967566907;2,018657528;1,985136739;1,94235218;1,903210491;1,860314871;1,81756331;1,292671404;1,292293139;1,289301236;1,283332069;1,275942349;1,272142583;1,028655288;1,033629941;1,031874962;1,031245955;1,030654566;1,028804042;0,953136188;0,967502471;0,966160036;0,967644415;0,966644502;0,969021424
0,35;;;2,084689115;2,075546417;2,040604623;2,001009907;1,956863699;1,91351678;1,321167717;1,312003532;1,3118495;1,309869344;1,306282262;1,300642687;1,048190644;1,043018824;1,041442955;1,040825542;1,040260719;1,039868276;0,982160461;0,977158946;0,972328885;0,979400299;0,974246602;0,976874959;2,029394571;1,999652518;1,946210017;1,901419615;1,850743616;1,804770649;1,293492711;1,297235838;1,289309943;1,283663973;1,277662829;1,268993955;1,038279549;1,033555108;1,034821984;1,033513248;1,030656949;1,028763698;0,963329747;0,977116491;0,972378779;0,972239036;0,972252997;0,970675489
0,4;;;2,130989019;2,123039819;2,08204992;2,026505154;1,975921386;1,927788608;1,350063159;1,339892022;1,340050115;1,333029459;1,326967345;1,322866871;1,066422118;1,057294665;1,054026885;1,050220605;1,053467529;1,049249481;0,991495384;0,991507113;0,988096031;0,986516392;0,98733374;0,986410008;2,067249611;2,012896216;1,961837174;1,90296548;1,852823087;1,804933336;1,320922311;1,311064928;1,305116604;1,295139859;1,281452462;1,273853965;1,038308783;1,047722879;1,044524118;1,0383012;1,036381264;1,036633549;0,981695871;0,981626773;0,978671207;0,981832394;0,977884939;0,975449928
0,45;;;2,190320605;2,17007256;2,110103834;2,04959435;1,994705606;1,941997711;1,386966754;1,377527794;1,365303644;1,364159061;1,35547772;1,344715921;1,076407937;1,071295608;1,072894477;1,073979334;1,068686965;1,066723959;0,99987363;1,005259151;1,003943941;1,005389162;1,000625173;0,998980005;2,094312633;2,051622247;1,977760886;1,924779112;1,867915758;1,811245609;1,340550969;1,334941407;1,320893314;1,307149717;1,294614537;1,283365685;1,057502738;1,052500136;1,057179339;1,052347292;1,049637645;1,044548503;0,990850686;0,981820271;0,988131243;0,991274908;0,987406797;0,986401014
