SOC;Temp (K);C_Rate;"R_Ch(T=278,15 K; 0,25 C)";"R_Ch(T=278,15 K; 0,5 C)";"R_Ch(T=278, 15K; 0,75 C)";"R_Ch(T=278,15 K; 1 C)";"R_Ch(T=278,15 K; 1,25 C)";"R_Ch(T=278,15 K; 1,5 C)";"R_Ch(T=288,15 K; 0,25 C)";"R_Ch(T=288,15 K; 0,5 C)";"R_Ch(T=288,15 K; 0,75 C)";"R_Ch(T=288,15 K; 1 C)";"R_Ch(T=288,15 K; 1,25 C)";"R_Ch(T=288,15 K; 1,5 C)";"R_Ch(T=298,15 K; 0,25 C)";"R_Ch(T=298,15 K; 0,5 C)";"R_Ch(T=298,15 K; 0,75 C)";"R_Ch(T=298,15 K; 1 C)";"R_Ch(T=298,15 K; 1,25 C)";"R_Ch(T=298,15 K; 1,5 C)";"R_Ch(T=308,15 K; 0,25 C)";"R_Ch(T=308,15 K; 0,5 C)";"R_Ch(T=308,15 K; 0,75 C)";"R_Ch(T=308,15 K; 1 C)";"R_Ch(T=308,15 K; 1,25 C)";"R_Ch(T=308,15 K; 1,5 C)";"R_DCh(T=278,15 K; 0,25 C)";"R_DCh(T=278,15 K; 0,5 C)";"R_DCh(T=278, 15K; 0,75 C)";"R_DCh(T=278,15 K; 1 C)";"R_DCh(T=278,15 K; 1,25 C)";"R_DCh(T=278,15 K; 1,5 C)";"R_DCh(T=288,15 K; 0,25 C)";"R_DCh(T=288,15 K; 0,5 C)";"R_DCh(T=288,15 K; 0,75 C)";"R_DCh(T=288,15 K; 1 C)";"R_DCh(T=288,15 K; 1,25 C)";"R_DCh(T=288,15 ; 1,5 C)";"R_DCh(T=298,15 K; 0,25 C)";"R_DCh(T=298,15 K; 0,5 C)";"R_DCh(T=298,15 K; 0,75 C)";"R_DCh(T=298,15 K; 1 C)";"R_DCh(T=298,15 K; 1,25 C)";"R_DCh(T=298,15 K; 1,5 C)";"R_DCh(T=308,15 K; 0,25 C)";"R_DCh(T=308,15 K; 0,5 C)";"R_DCh(T=308,15 K; 0,75 C)";"R_DCh(T=308,15 K; 1 C)";"R_DCh(T=308,15 K; 1,25 C)";"R_DCh(T=308,15 K; 1,5 C)"
0,5;;;2,236804561;2,20235569;2,129232735;2,066594095;2,006466358;1,953075936;1,396686605;1,40144343;1,403195818;1,390041121;1,380212565;1,365388164;1,094640225;1,104279809;1,104400904;1,095080794;1,09501931;1,090251466;1,01926973;1,028912343;1,025864087;1,024296262;1,01954625;1,017850192;2,141694781;2,08003993;2,009686556;1,9412045;1,881295629;1,82538979;1,368812998;1,363661172;1,34931348;1,330670503;1,321093823;1,29911975;1,085529088;1,076034033;1,075957617;1,071386446;1,068441028;1,060261655;1,019516557;1,009990864;1,006963486;1,005388595;1,013909296;1,002152775
0,55;;;2,141921093;2,1225166;2,078868646;2,026225398;1,987218807;1,939991098;1,461855881;1,453097356;1,431853774;1,418108634;1,393115473;1,374642315;1,133193119;1,146730098;1,139108057;1,130507871;1,125208334;1,120175665;1,067434762;1,061934616;1,057371706;1,052538145;1,049789393;1,047894967;2,159627506;2,146502094;2,084884084;2,011789779;1,945640404;1,88833131;1,425397726;1,410355145;1,409636413;1,387323008;1,374069239;1,359148828;1,132711653;1,137444736;1,123295407;1,118506108;1,115687149;1,110691574;1,048102076;1,04791023;1,047927093;1,047845391;1,045919459;1,041469625
0,6;;;1,99177088;1,976035662;1,953113142;1,925086021;1,899808636;1,865006389;1,302400211;1,306577306;1,296309655;1,290612796;1,285488548;1,283347728;1,046804796;1,042801922;1,041538638;1,043151481;1,04014289;1,038122952;0,972634414;0,981633682;0,981770759;0,979428621;0,976086948;0,983140129;1,972531211;1,948123004;1,915024884;1,874551542;1,83578188;1,795492228;1,302330552;1,297552679;1,292582014;1,292807852;1,285261993;1,28033228;1,037537566;1,038506362;1,044689806;1,038280323;1,040061432;1,038283555;0,973111348;0,977217918;0,98183852;0,979489088;0,979879663;0,981661781
0,65;;;1,961807113;1,966940101;1,9503464;1,924813764;1,89826058;1,863028007;1,293126343;1,292553872;1,2873607;1,283927052;1,283645031;1,280189965;1,038209395;1,033684514;1,038382099;1,035899235;1,036365348;1,038091144;0,981745627;0,981588082;0,978818396;0,979453625;0,979779303;0,981700896;1,94439472;1,920028098;1,887039308;1,84677116;1,805763917;1,767222868;1,264856004;1,278766405;1,274057035;1,269284488;1,264590696;1,258249376;1,037887977;1,028929726;1,028937693;1,028883553;1,028845279;1,028846326;0,972387907;0,976955548;0,975444695;0,977081251;0,974232659;0,975379801
0,7;;;1,94393498;1,961631068;1,9413725;1,915406006;1,890388808;1,861424406;1,273789533;1,288177376;1,283852535;1,281486498;1,283583055;1,280260736;1,02841211;1,033663776;1,032239568;1,038324948;1,036410709;1,036761751;0,982260073;0,981686196;0,985027046;0,981769323;0,985504922;0,98487442;1,925927035;1,911328214;1,874243777;1,834965107;1,794345422;1,75485185;1,274406462;1,274157798;1,267548803;1,266876668;1,260819082;1,253691409;1,028441054;1,028939504;1,028735037;1,031243923;1,036511886;1,027231897;0,971969131;0,977131625;0,978611254;0,979445942;0,977969488;0,978568697
0,75;;;1,961873347;1,934320903;1,937001103;1,910824277;1,886902982;1,855194597;1,282853123;1,283920485;1,283728599;1,283688469;1,281579715;1,278542973;1,029356516;1,028893874;1,035278541;1,03592201;1,038219308;1,03358233;0,99097621;0,991104159;0,985000164;0,986533715;0,989231222;0,989536568;1,906087802;1,897039226;1,868104274;1,827755331;1,784737917;1,746947482;1,27440718;1,27408488;1,264850755;1,264485805;1,260860786;1,253553372;1,028776921;1,02880154;1,028989363;1,026483213;1,028908779;1,028797418;0,9814223;0,981630918;0,984998752;0,977114771;0,983671823;0,984874024
0,8;;;1,933368629;1,948910854;1,931441987;1,913058103;1,886791453;1,85826124;1,273849458;1,283917267;1,28672435;1,28151382;1,285116703;1,283208669;1,028493157;1,033406721;1,035131454;1,035988125;1,036346727;1,038300117;0,980908731;0,991103162;0,988269838;0,993555046;0,993241069;0,992881431;1,913593495;1,906030935;1,865226756;1,823101275;1,784993555;1,742267025;1,274062056;1,274295996;1,267986628;1,264477263;1,260711593;1,255176558;1,047512005;1,033525178;1,029013139;1,031239023;1,032625676;1,030426181;1,001217387;0,991298536;0,991298257;0,988930268;0,991217603;0,991133925
0,85;;;1,933342522;1,939516956;1,931247157;1,90831536;1,884582794;1,857079224;1,284341972;1,288576123;1,2898918;1,285956734;1,285312559;1,28485104;1,038086648;1,038174322;1,041498483;1,038276139;1,04014928;1,041480936;1,00070143;1,005431428;0,997593644;0,998167856;0,996760952;1,000543036;1,898069604;1,887057837;1,853147064;1,820827176;1,779363696;1,740832059;1,274227061;1,274736693;1,271011399;1,267159822;1,262808502;1,255125137;1,037625147;1,024289899;1,032083323;1,03356857;1,03269147;1,032029078;1,000371835;0,977028998;0,994381949;0,993582924;0,994968905;0,994416778
0,9;;;1,958035039;1,941018531;1,938489275;1,922444652;1,899740806;1,868018643;1,30266058;1,274131102;1,292969808;1,288378273;1,289006403;1,288280219;1,038987466;1,042972573;1,038633874;1,040628635;1,043903789;1,044620736;1,009280842;1,000677277;0,991170604;1,00060591;1,002416166;1,003657945;1,918357415;1,890333805;1,864855167;1,828435425;1,792868841;1,751922189;1,283257517;1,273597624;1,274482185;1,26935231;1,264409915;1,260029399;1,038806007;1,038453879;1,041564657;1,036043623;1,036368372;1,035111983;1,000202896;1,000278912;0,994434158;0,99832751;1,000749073;0,998987726
0,95;;;1,990213692;1,981259051;1,96446804;1,937740313;1,912581544;1,879921539;1,292656851;1,297722961;1,302604167;1,297776424;1,298373624;1,295943469;1,037660183;1,04775582;1,051070541;1,045359657;1,047772587;1,047696822;1,001344343;1,005285838;1,007000048;1,007824436;1,006238267;1,010052229;1,944812781;1,919752907;1,887281781;1,844902716;1,800437398;1,753194336;1,292122264;1,283756973;1,280407408;1,273914736;1,268372876;1,264579218;1,028493157;1,047835724;1,047985484;1,038291414;1,038359281;1,038347439;1,000836712;0,995853744;1,000672688;1,003113632;1,004383612;1,006977427
1;;;1,990213692;1,981259051;1,96446804;1,937740313;1,912581544;1,879921539;1,292656851;1,297722961;1,302604167;1,297776424;1,298373624;1,295943469;1,037660183;1,04775582;1,051070541;1,045359657;1,047772587;1,047696822;1,001344343;1,005285838;1,007000048;1,007824436;1,006238267;1,010052229;1,944812781;1,919752907;1,887281781;1,844902716;1,800437398;1,753194336;1,292122264;1,283756973;1,280407408;1,273914736;1,268372876;1,264579218;1,028493157;1,047835724;1,047985484;1,038291414;1,038359281;1,038347439;1,000836712;0,995853744;1,000672688;1,003113632;1,004383612;1,006977427
