DOD;f_capacity_cyc
0;0,0000000000
0,001;0,0000038500
0,002;0,0000077037
0,003;0,0000115556
0,004;0,0000154074
0,005;0,0000192593
0,006;0,0000231111
0,007;0,0000269630
0,008;0,0000308148
0,009;0,0000346667
0,01;0,0000385185
0,011;0,0000423704
0,012;0,0000462222
0,013;0,0000500741
0,014;0,0000539259
0,015;0,0000577778
0,016;0,0000616296
0,017;0,0000654815
0,018;0,0000693333
0,019;0,0000731852
0,02;0,0000770370
0,021;0,0000808889
0,022;0,0000847407
0,023;0,0000885926
0,024;0,0000924444
0,025;0,0000962963
0,026;0,0001001480
0,027;0,0001040000
0,028;0,0001078520
0,029;0,0001117040
0,03;0,0001155560
0,031;0,0001194070
0,032;0,0001232590
0,033;0,0001271110
0,034;0,0001309630
0,035;0,0001348150
0,036;0,0001386670
0,037;0,0001425190
0,038;0,0001463700
0,039;0,0001502220
0,04;0,0001540740
0,041;0,0001579260
0,042;0,0001617780
0,043;0,0001656300
0,044;0,0001694810
0,045;0,0001733330
0,046;0,0001771850
0,047;0,0001810370
0,048;0,0001848890
0,049;0,0001887410
0,05;0,0001925930
0,051;0,0001964440
0,052;0,0002002960
0,053;0,0002041480
0,054;0,0002080000
0,055;0,0002118520
0,056;0,0002157040
0,057;0,0002195560
0,058;0,0002234070
0,059;0,0002272590
0,06;0,0002311110
0,061;0,0002349630
0,062;0,0002388150
0,063;0,0002426670
0,064;0,0002465190
0,065;0,0002503700
0,066;0,0002542220
0,067;0,0002580740
0,068;0,0002619260
0,069;0,0002657780
0,07;0,0002696300
0,071;0,0002734810
0,072;0,0002773330
0,073;0,0002811850
0,074;0,0002850370
0,075;0,0002888890
0,076;0,0002927410
0,077;0,0002965930
0,078;0,0003004440
0,079;0,0003042960
0,08;0,0003081480
0,081;0,0003120000
0,082;0,0003158520
0,083;0,0003197040
0,084;0,0003235560
0,085;0,0003274070
0,086;0,0003312590
0,087;0,0003351110
0,088;0,0003389630
0,089;0,0003428150
0,09;0,0003466670
0,091;0,0003505190
0,092;0,0003543700
0,093;0,0003582220
0,094;0,0003620740
0,095;0,0003659260
0,096;0,0003697780
0,097;0,0003736300
0,098;0,0003774810
0,099;0,0003813330
0,1;0,0003851850
0,101;0,0003890370
0,102;0,0003928890
0,103;0,0003967410
0,104;0,0004005930
0,105;0,0004044440
0,106;0,0004082960
0,107;0,0004121480
0,108;0,0004160000
0,109;0,0004198520
0,11;0,0004237040
0,111;0,0004275560
0,112;0,0004314070
0,113;0,0004352590
0,114;0,0004391110
0,115;0,0004429630
0,116;0,0004468150
0,117;0,0004506670
0,118;0,0004545190
0,119;0,0004583700
0,12;0,0004622220
0,121;0,0004660740
0,122;0,0004699260
0,123;0,0004737780
0,124;0,0004776300
0,125;0,0004814810
0,126;0,0004853330
0,127;0,0004891850
0,128;0,0004930370
0,129;0,0004968890
0,13;0,0005007410
0,131;0,0005045930
0,132;0,0005084440
0,133;0,0005122960
0,134;0,0005161480
0,135;0,0005200000
0,136;0,0005238520
0,137;0,0005277040
0,138;0,0005315560
0,139;0,0005354070
0,14;0,0005392590
0,141;0,0005431110
0,142;0,0005469630
0,143;0,0005508150
0,144;0,0005546670
0,145;0,0005585190
0,146;0,0005623700
0,147;0,0005662220
0,148;0,0005700740
0,149;0,0005739260
0,15;0,0005777780
0,151;0,0005816300
0,152;0,0005854810
0,153;0,0005893330
0,154;0,0005931850
0,155;0,0005970370
0,156;0,0006008890
0,157;0,0006047410
0,158;0,0006085930
0,159;0,0006124440
0,16;0,0006162960
0,161;0,0006201480
0,162;0,0006240000
0,163;0,0006278520
0,164;0,0006317040
0,165;0,0006355560
0,166;0,0006394070
0,167;0,0006432590
0,168;0,0006471110
0,169;0,0006509630
0,17;0,0006548150
0,171;0,0006586670
0,172;0,0006625190
0,173;0,0006663700
0,174;0,0006702220
0,175;0,0006740740
0,176;0,0006779260
0,177;0,0006817780
0,178;0,0006856300
0,179;0,0006894810
0,18;0,0006933330
0,181;0,0006971850
0,182;0,0007010370
0,183;0,0007048890
0,184;0,0007087410
0,185;0,0007125930
0,186;0,0007164440
0,187;0,0007202960
0,188;0,0007241480
0,189;0,0007280000
0,19;0,0007318520
0,191;0,0007357040
0,192;0,0007395560
0,193;0,0007434070
0,194;0,0007472590
0,195;0,0007511110
0,196;0,0007549630
0,197;0,0007588150
0,198;0,0007626670
0,199;0,0007665190
0,2;0,0007703700
0,201;0,0007742220
0,202;0,0007780740
0,203;0,0007819260
0,204;0,0007857780
0,205;0,0007896300
0,206;0,0007934810
0,207;0,0007973330
0,208;0,0008011850
0,209;0,0008050370
0,21;0,0008088890
0,211;0,0008127410
0,212;0,0008165930
0,213;0,0008204440
0,214;0,0008242960
0,215;0,0008281480
0,216;0,0008320000
0,217;0,0008358520
0,218;0,0008397040
0,219;0,0008435560
0,22;0,0008474070
0,221;0,0008512590
0,222;0,0008551110
0,223;0,0008589630
0,224;0,0008628150
0,225;0,0008666670
0,226;0,0008705190
0,227;0,0008743700
0,228;0,0008782220
0,229;0,0008820740
0,23;0,0008859260
0,231;0,0008897780
0,232;0,0008936300
0,233;0,0008974810
0,234;0,0009013330
0,235;0,0009051850
0,236;0,0009090370
0,237;0,0009128890
0,238;0,0009167410
0,239;0,0009205930
0,24;0,0009244440
0,241;0,0009282960
0,242;0,0009321480
0,243;0,0009360000
0,244;0,0009398520
0,245;0,0009437040
0,246;0,0009475560
0,247;0,0009514070
0,248;0,0009552590
0,249;0,0009591110
0,25;0,0009629630
0,251;0,0009668150
0,252;0,0009706670
0,253;0,0009745190
0,254;0,0009783700
0,255;0,0009822220
0,256;0,0009860740
0,257;0,0009899260
0,258;0,0009937780
0,259;0,0009976300
0,26;0,0010014810
0,261;0,0010053330
0,262;0,0010091850
0,263;0,0010130370
0,264;0,0010168890
0,265;0,0010207410
0,266;0,0010245930
0,267;0,0010284440
0,268;0,0010322960
0,269;0,0010361480
0,27;0,0010400000
0,271;0,0010399090
0,272;0,0010412880
0,273;0,0010426670
0,274;0,0010440460
0,275;0,0010454250
0,276;0,0010468040
0,277;0,0010481830
0,278;0,0010495620
0,279;0,0010509410
0,28;0,0010523200
0,281;0,0010536990
0,282;0,0010550780
0,283;0,0010564570
0,284;0,0010578360
0,285;0,0010592150
0,286;0,0010605940
0,287;0,0010619730
0,288;0,0010633520
0,289;0,0010647310
0,29;0,0010661100
0,291;0,0010674890
0,292;0,0010688680
0,293;0,0010702470
0,294;0,0010716260
0,295;0,0010730050
0,296;0,0010743840
0,297;0,0010757630
0,298;0,0010771420
0,299;0,0010785210
0,3;0,0010799000
0,301;0,0010812790
0,302;0,0010826580
0,303;0,0010840370
0,304;0,0010854160
0,305;0,0010867950
0,306;0,0010881740
0,307;0,0010895530
0,308;0,0010909320
0,309;0,0010923110
0,31;0,0010936900
