INFO       2020-08-08 19:08:41,442 | module : parser | line : 104 | method : read_file | current config : {"profile": "TEST", "isrunnable": false, "package": "napoleontoolbox", "model_parameters": {"start_date": null, "end_date": null, "underlyings": null}}
INFO       2020-08-09 00:29:23,544 | module : parser | line : 104 | method : read_file | current config : {"profile": "TEST", "isrunnable": false, "package": "napoleontoolbox", "model_parameters": {"start_date": null, "end_date": null, "underlyings": null}}
INFO       2020-08-09 02:15:04,035 | module : __main__ | line : 9 | method : <module> | version : 0.0.1
INFO       2020-08-09 02:15:04,035 | module : parser | line : 109 | method : read_file | current config : {"profile": "TEST", "isrunnable": false, "package": "napoleontoolbox", "model_parameters": {"start_date": null, "end_date": null, "underlyings": null}}
INFO       2020-08-09 02:20:09,450 | module : __main__ | line : 9 | method : <module> | version : 0.0.1
INFO       2020-08-09 02:20:09,450 | module : parser | line : 109 | method : read_file | current config : {"profile": "TEST", "isrunnable": false, "package": "napoleontoolbox", "model_parameters": {"start_date": null, "end_date": null, "underlyings": null}}
INFO       2020-08-09 02:20:14,804 | module : __main__ | line : 9 | method : <module> | version : 0.0.1
INFO       2020-08-09 02:20:14,804 | module : parser | line : 109 | method : read_file | current config : {"profile": "TEST", "isrunnable": false, "package": "napoleontoolbox", "model_parameters": {"start_date": null, "end_date": null, "underlyings": null}}
INFO       2020-08-09 02:21:58,407 | module : __main__ | line : 9 | method : <module> | version : 0.0.1
INFO       2020-08-09 02:22:03,774 | module : parser | line : 109 | method : read_file | current config : {"profile": "TEST", "isrunnable": false, "package": "napoleontoolbox", "model_parameters": {"start_date": null, "end_date": null, "underlyings": null}}
INFO       2020-08-09 02:22:24,782 | module : __main__ | line : 9 | method : <module> | version : 0.0.1
INFO       2020-08-09 02:22:25,758 | module : parser | line : 109 | method : read_file | current config : {"profile": "TEST", "isrunnable": false, "package": "napoleontoolbox", "model_parameters": {"start_date": null, "end_date": null, "underlyings": null}}
INFO       2020-08-09 16:37:45,462 | module : __main__ | line : 9 | method : <module> | version : 0.0.1
INFO       2020-08-09 16:37:45,462 | module : parser | line : 109 | method : read_file | current config : {"profile": "TEST", "isrunnable": false, "package": "napoleontoolbox", "model_parameters": {"start_date": null, "end_date": null, "underlyings": null}}
ERROR      2020-08-10 01:59:11,945 | module : <string> | line : 1 | method : <module> | Profile value should be string typed
NoneType: None
INFO       2020-08-10 01:59:42,916 | module : __main__ | line : 7 | method : <module> | version : 0.0.1
INFO       2020-08-10 01:59:45,746 | module : parsertemplate | line : 167 | method : read_file | current config : {"profile": "TEST", "isrunnable": false, "package": "napoleontoolbox", "model_parameters": {"start_date": null, "end_date": null, "underlyings": null}}
