Name,Symbol,SI_val, SI_units
degree,deg,0.017453292519943295,rad
hertz,Hz,1.0,s-1
newton,N,1.0,m.kg.s-2
pascal,Pa,1.0,m-1.kg.s-2
joule,J,1.0,m2.kg.s-2
watt,W,1.0,m2.kg.s-3
coulomb,C,1.0,s.A
volt,V,1.0,m2.kg.s-3.A-1
farad,F,1.0,m-2.kg-1.s4.A2
ohm,Ohm,1.0,m2.kg-1.s4.A-2
siemens,S,1.0,m-2.kg-1.s3.A2
weber,Wb,1.0,m2.kg.s-2.A-1
tesla,T,1.0,kg.s-2.A-1
henry,H,1.0,m2.kg.s-2.A-2
degree Celsius,degC,,
lumen,lm,1.0,cd
lux,lx,1.0,m-2.cd
becquerel,Bq,1.0,s-1
gray,Gy,1.0,m2.s-2
sievert,Sv,1.0,m2.s-2
katal,kat,1.0,s-1.mol
gram,g,1e-3,kg
electron volt,eV,1.602176565e-19,m.kg.s-2
minute,min,60,s
hour,h,3600,s
day,d,86400,s
litre,l,1e-3,m3
astronomical unit,au,149597870700,m
miles,mi,1609.344,m
